instrument,companyName,cik,form,filedDate,accessionNumber,reportDate,primaryDocument,primaryDocDescription,primaryDocumentUrl,detail_url
MAG7,AMAZON COM INC,0001018724,144,2025-08-21T00:00:00Z,0002007317-25-000924,,xsl144X01/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/1018724/000200731725000924/xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/1018724/000200731725000924/0002007317-25-000924-index.htm
MAG7,AMAZON COM INC,0001018724,4,2025-08-19T00:00:00Z,0001018724-25-000096,2025-08-15,xslF345X05/wk-form4_1755637891.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000096/xslF345X05/wk-form4_1755637891.xml,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000096/0001018724-25-000096-index.htm
MAG7,AMAZON COM INC,0001018724,4,2025-08-18T00:00:00Z,0001018724-25-000094,2025-08-14,xslF345X05/wk-form4_1755549085.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000094/xslF345X05/wk-form4_1755549085.xml,https://www.sec.gov/Archives/edgar/data/1018724/000101872425000094/0001018724-25-000094-index.htm
BTC,VanEck Bitcoin ETF  (HODL)  (CIK 0001838028),0001838028,10-Q,2025-08-13T00:00:00Z,0000930413-25-002440,,,,,https://www.sec.gov/Archives/edgar/data/1838028/000093041325002440/0000930413-25-002440-index.htm
MAG7,Apple Inc.,0000320193,4,2025-08-12T00:00:00Z,0001767094-25-000005,2025-08-08,xslF345X05/wk-form4_1755037816.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/320193/000176709425000005/xslF345X05/wk-form4_1755037816.xml,https://www.sec.gov/Archives/edgar/data/320193/000176709425000005/0001767094-25-000005-index.htm
MAG7,Apple Inc.,0000320193,144,2025-08-08T00:00:00Z,0001969223-25-000586,,xsl144X01/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/320193/000196922325000586/xsl144X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/320193/000196922325000586/0001969223-25-000586-index.htm
TON,"CF Industries Holdings, Inc.  (CF)  (CIK 0001324404)",0001324404,8-K,2025-08-06T00:00:00Z,0001324404-25-000022,,,,,https://www.sec.gov/Archives/edgar/data/1324404/000132440425000022/0001324404-25-000022-index.htm
BTC,Bitwise Funds Trust  (CIK 0001928561),0001928561,497K,2025-08-01T00:00:00Z,0001213900-25-070694,,,,,https://www.sec.gov/Archives/edgar/data/1928561/000121390025070694/0001213900-25-070694-index.htm
MAG7,Apple Inc.,0000320193,10-Q,2025-08-01T00:00:00Z,0000320193-25-000073,2025-06-28,aapl-20250628.htm,10-Q,https://www.sec.gov/Archives/edgar/data/320193/000032019325000073/aapl-20250628.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019325000073/0000320193-25-000073-index.htm
BTC,Fidelity Wise Origin Bitcoin Fund  (FBTC)  (CIK 0001852317),0001852317,424B3,2025-07-31T00:00:00Z,0001193125-25-170577,,,,,https://www.sec.gov/Archives/edgar/data/1852317/000119312525170577/0001193125-25-170577-index.htm
BTC,Bitwise Bitcoin ETF  (BITB)  (CIK 0001763415),0001763415,S-3/A,2025-07-31T00:00:00Z,0001213900-25-069756,,,,,https://www.sec.gov/Archives/edgar/data/1763415/000121390025069756/0001213900-25-069756-index.htm
MAG7,Apple Inc.,0000320193,8-K,2025-07-31T00:00:00Z,0000320193-25-000071,2025-07-31,aapl-20250731.htm,8-K,https://www.sec.gov/Archives/edgar/data/320193/000032019325000071/aapl-20250731.htm,https://www.sec.gov/Archives/edgar/data/320193/000032019325000071/0000320193-25-000071-index.htm
BTC,Bitwise Bitcoin ETF  (BITB)  (CIK 0001763415),0001763415,S-3/A,2025-07-29T00:00:00Z,0001213900-25-068806,,,,,https://www.sec.gov/Archives/edgar/data/1763415/000121390025068806/0001213900-25-068806-index.htm
MAG7,Apple Inc.,0000320193,SCHEDULE 13G/A,2025-07-29T00:00:00Z,0000932471-25-000778,,xslSCHEDULE_13G_X01/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/320193/000093247125000778/xslSCHEDULE_13G_X01/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/320193/000093247125000778/0000932471-25-000778-index.htm
MAG7,Apple Inc.,0000320193,3,2025-07-25T00:00:00Z,0000320193-25-000066,2025-07-25,xslF345X02/wk-form3_1753482781.xml,FORM 3,https://www.sec.gov/Archives/edgar/data/320193/000032019325000066/xslF345X02/wk-form3_1753482781.xml,https://www.sec.gov/Archives/edgar/data/320193/000032019325000066/0000320193-25-000066-index.htm
MAG7,Apple Inc.,0000320193,8-K,2025-07-25T00:00:00Z,0001140361-25-027340,2025-07-21,ef20052355_8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/320193/000114036125027340/ef20052355_8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000114036125027340/0001140361-25-027340-index.htm
BTC,"Cantor Equity Partners I, Inc.  (CEPO)  (CIK 0002027708)",0002027708,8-K,2025-07-17T00:00:00Z,0001213900-25-064922,,,,,https://www.sec.gov/Archives/edgar/data/2027708/000121390025064922/0001213900-25-064922-index.htm
MAG7,Apple Inc.,0000320193,8-K,2025-07-09T00:00:00Z,0001140361-25-025275,2025-07-08,ef20051741_8k.htm,8-K,https://www.sec.gov/Archives/edgar/data/320193/000114036125025275/ef20051741_8k.htm,https://www.sec.gov/Archives/edgar/data/320193/000114036125025275/0001140361-25-025275-index.htm
BTC,SEQUANS COMMUNICATIONS  (SQNS)  (CIK 0001383395),0001383395,6-K,2025-07-01T00:00:00Z,0001383395-25-000051,,,,,https://www.sec.gov/Archives/edgar/data/1383395/000138339525000051/0001383395-25-000051-index.htm
BTC,Volatility Shares Trust  (CIK 0001884021),0001884021,497K,2025-06-30T00:00:00Z,0001213900-25-059537,,,,,https://www.sec.gov/Archives/edgar/data/1884021/000121390025059537/0001213900-25-059537-index.htm
MAG7,Apple Inc.,0000320193,25-NSE,2025-05-22T00:00:00Z,0001354457-25-000451,,xslF25X02/primary_doc.xml,,https://www.sec.gov/Archives/edgar/data/320193/000135445725000451/xslF25X02/primary_doc.xml,https://www.sec.gov/Archives/edgar/data/320193/000135445725000451/0001354457-25-000451-index.htm
MAG7,Apple Inc.,0000320193,4,2025-05-14T00:00:00Z,0000320193-25-000059,2025-05-12,xslF345X05/wk-form4_1747261821.xml,FORM 4,https://www.sec.gov/Archives/edgar/data/320193/000032019325000059/xslF345X05/wk-form4_1747261821.xml,https://www.sec.gov/Archives/edgar/data/320193/000032019325000059/0000320193-25-000059-index.htm
