instrument,timestamp_utc,open_price,high_price,low_price,close_price,record_timestamp_utc
LSE:MAG7,2025-09-15 15:00:00+00:00,34.75,34.85,34.71,34.85,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 15:05:00+00:00,34.85,34.85,34.64,34.64,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 15:10:00+00:00,34.8,34.82,34.79,34.82,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 15:15:00+00:00,34.82,35.01,34.79,35.01,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 15:20:00+00:00,34.92,34.95,34.79,34.79,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 15:25:00+00:00,34.95,35.15,34.95,35.01,2025-09-20 17:52:14
LSE:MAG7,2025-09-15 15:35:00+00:00,34.95,34.95,34.95,34.95,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 07:00:00+00:00,34.93,35.97,34.93,35.36,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 07:05:00+00:00,35.36,35.97,35.31,35.82,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 07:10:00+00:00,35.16,35.97,35.16,35.8,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 07:15:00+00:00,35.8,35.87,35.31,35.44,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 07:20:00+00:00,35.9,35.93,35.81,35.93,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 07:25:00+00:00,35.88,35.88,35.7,35.82,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 07:30:00+00:00,35.87,35.87,35.38,35.8,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 07:35:00+00:00,35.38,35.98,35.38,35.38,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 07:45:00+00:00,35.99,35.99,35.5,35.99,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 07:50:00+00:00,35.99,35.99,35.32,35.9,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 07:55:00+00:00,35.24,35.98,35.24,35.98,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 08:00:00+00:00,35.3,36.0,35.3,35.99,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 08:05:00+00:00,36.0,36.0,36.0,36.0,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 08:10:00+00:00,36.0,36.0,36.0,36.0,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 08:15:00+00:00,36.0,36.0,35.61,36.0,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 08:20:00+00:00,35.99,35.99,35.99,35.99,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 08:25:00+00:00,35.76,35.76,35.76,35.76,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 08:30:00+00:00,36.0,36.0,36.0,36.0,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 08:35:00+00:00,36.0,36.0,35.61,35.61,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 08:40:00+00:00,35.61,36.0,35.61,36.0,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 08:50:00+00:00,36.0,36.0,36.0,36.0,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 08:55:00+00:00,36.0,36.0,36.0,36.0,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 09:05:00+00:00,36.0,36.0,36.0,36.0,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 09:10:00+00:00,35.91,35.91,35.91,35.91,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 09:15:00+00:00,35.84,35.9,35.84,35.9,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 09:20:00+00:00,35.81,35.83,35.81,35.83,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 09:25:00+00:00,35.95,35.95,35.95,35.95,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 09:30:00+00:00,35.94,35.94,35.94,35.94,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 09:35:00+00:00,35.96,35.96,35.9,35.9,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 09:40:00+00:00,35.9,35.9,35.9,35.9,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 09:55:00+00:00,35.9,35.9,35.9,35.9,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 10:00:00+00:00,35.86,35.95,35.86,35.86,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 10:10:00+00:00,35.8,35.8,35.8,35.8,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 10:15:00+00:00,35.76,35.89,35.76,35.89,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 10:20:00+00:00,35.9,35.9,35.9,35.9,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 10:25:00+00:00,35.86,35.86,35.86,35.86,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 10:30:00+00:00,35.86,35.99,35.76,35.8,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 10:35:00+00:00,35.8,35.86,35.8,35.86,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 10:40:00+00:00,35.76,35.79,35.76,35.79,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 10:45:00+00:00,35.79,35.79,35.79,35.79,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 10:50:00+00:00,35.79,35.86,35.79,35.84,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 10:55:00+00:00,35.84,35.84,35.82,35.82,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 11:00:00+00:00,35.76,35.76,35.72,35.72,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 11:05:00+00:00,35.7,35.79,35.67,35.76,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 11:10:00+00:00,35.68,35.68,35.68,35.68,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 11:15:00+00:00,35.61,35.61,35.5,35.5,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 11:20:00+00:00,35.43,35.61,35.43,35.61,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 11:25:00+00:00,35.55,35.6,35.55,35.6,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 11:30:00+00:00,35.6,35.6,35.6,35.6,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 11:35:00+00:00,35.59,35.68,35.59,35.68,2025-09-20 17:52:14
LSE:MAG7,2025-09-16 11:55:00+00:00,35.55,35.55,35.55,35.55,2025-09-20 17:52:14
